Time,Qboi_S.y,MeaData.y[1],T_exh_S.y,MeaData.y[3],boi.VLiq,boi.V,mFueFlo_S.y,MeaData.y[2],T_Ste_S.y,MeaData.y[4],boi.furHeaBal.eta_boi,boi.furHeaBal.per_exh
8683200,4146666.5,4229397,293.15,491.9,25,50,0.10126783,0.104,453.15,452.3,0.82900065,0.06141586
8684062,4189017,4237399,491.3679,491.7084,24.999702,50,0.10146048,0.10403832,448.4045,452.3,0.8364603,0.053956207
8684100,4189415.5,4237750,491.42514,491.7,24.999935,50,0.10146892,0.10404,448.40454,452.3,0.83647525,0.05394123
8684100,4189415.5,4237750,491.42514,491.7,24.999935,50,0.10146892,0.10404,448.40454,452.3,0.83647525,0.05394123
8684924,4180194.2,4227608,491.67346,491.6084,25.006979,50,0.10122332,0.1039942,448.40393,452.3,0.83654195,0.05387457
8685000,4179321.2,4226678,491.67453,491.6,25.007872,50,0.1012008,0.10399,448.40387,452.3,0.8365422,0.053874288
8685000,4179321.2,4226678,491.67453,491.6,25.007872,50,0.1012008,0.10399,448.40387,452.3,0.8365422,0.053874288
8685787,4187995.2,4235892.5,491.68384,491.6874,25.018274,50,0.10142416,0.10399874,448.40445,452.3,0.8365428,0.053873718
8685900,4189245.5,4237221,491.68384,491.7,25.019913,50,0.10145635,0.104,448.40454,452.3,0.8365428,0.053873714
8685900,4189245.5,4237221,491.68384,491.7,25.019913,50,0.10145635,0.104,448.40454,452.3,0.8365428,0.053873714
8686649,4173195,4219889.5,491.69952,491.7832,25.027039,50,0.10104156,0.10404992,448.40363,452.4664,0.83655405,0.053862464
8686800,4169957.5,4216390,491.7072,491.8,25.027538,50,0.10095781,0.10406,448.4034,452.5,0.83655703,0.053859454
8686800,4169957.5,4216390,491.7072,491.8,25.027538,50,0.10095781,0.10406,448.4034,452.5,0.83655703,0.053859454
8687511,4172624.5,4219353.5,491.7042,491.8,25.032503,50,0.10102731,0.1040047,448.4034,452.579,0.83655035,0.053866122
8687700,4173324.2,4220141,491.69476,491.8,25.035004,50,0.10104579,0.10399,448.40344,452.6,0.83654666,0.053869825
8687700,4173324.2,4220141,491.69476,491.8,25.035004,50,0.10104579,0.10399,448.40344,452.6,0.83654666,0.053869825
8688373,4181990.2,4229436.5,491.70697,491.9496,25.04381,50,0.101268284,0.10404984,448.40405,452.6748,0.8365527,0.05386384
8688600,4184921.2,4232568,491.71823,492,25.046278,50,0.10134324,0.10407,448.40427,452.7,0.8365571,0.053859413
8688600,4184921.2,4232568,491.71823,492,25.046278,50,0.10134324,0.10407,448.40427,452.7,0.8365571,0.053859413
8689235,4180762.5,4228075,491.70453,491.8588,25.052948,50,0.10123676,0.1040347,448.40402,452.5588,0.8365518,0.05386469
8689500,4179017,4226204,491.6915,491.8,25.055824,50,0.101192415,0.10402,448.40387,452.5,0.83654666,0.05386983
8689500,4179017,4226204,491.6915,491.8,25.055824,50,0.101192415,0.10402,448.40387,452.5,0.83654666,0.05386983
8690098,4198154,4246777.5,491.7095,491.8,25.062532,50,0.1016848,0.10403328,448.40506,452.3672,0.83655125,0.053865246
8690400,4207855,4257188,491.72427,491.8,25.06601,50,0.101933956,0.10404,448.40576,452.3,0.8365571,0.053859394
8690400,4207855,4257188,491.72427,491.8,25.06601,50,0.101933956,0.10404,448.40576,452.3,0.8365571,0.053859394
8690960,4191483,4239544.5,491.71738,491.7378,25.07258,50,0.101511806,0.10401512,448.40482,452.1134,0.8365608,0.053855732
8691300,4181523.5,4228822,491.718,491.7,25.0767,50,0.10125526,0.104,448.40405,452,0.8365609,0.05385557
8691300,4181523.5,4228822,491.718,491.7,25.0767,50,0.10125526,0.104,448.40405,452,0.8365609,0.05385557
8691822,4172907,4219588.5,491.70737,491.7,25.08298,50,0.10103414,0.1040058,448.40338,452.116,0.8365541,0.053862374
8692200,4166655.8,4212902,491.6885,491.7,25.087358,50,0.10087402,0.10401,448.40298,452.2,0.8365467,0.053869788
8692200,4166655.8,4212902,491.6885,491.7,25.087358,50,0.10087402,0.10401,448.40298,452.2,0.8365467,0.053869788
8692684,4178832,4226137.5,491.66357,491.7538,25.091856,50,0.10118957,0.10401,448.40375,452.4152,0.8365308,0.053885672
8693100,4189274.2,4237503,491.6212,491.8,25.094,50,0.101460546,0.10401,448.40457,452.6,0.8365143,0.05390221
8693100,4189274.2,4237503,491.6212,491.8,25.094,50,0.101460546,0.10401,448.40457,452.6,0.8365143,0.05390221
8693546,4189830.8,4238108,491.60107,491.7008,25.096636,50,0.10147509,0.10404968,448.40466,452.5008,0.8365126,0.053903878
8694000,4190442.8,4238723,491.62085,491.6,25.101938,50,0.10148987,0.10409,448.4046,452.4,0.8365208,0.053895723
8694000,4190442.8,4238723,491.62085,491.6,25.101938,50,0.10148987,0.10409,448.4046,452.4,0.8365208,0.053895723
8694409,4192770.5,4241134.5,491.64322,491.6,25.1071,50,0.101548836,0.10404914,448.40475,452.4454,0.83652896,0.05388756
8694900,4195570,4244035,491.6688,491.6,25.110996,50,0.10161974,0.104,448.405,452.5,0.83653885,0.053877644
8694900,4195570,4244035,491.6688,491.6,25.110996,50,0.10161974,0.104,448.405,452.5,0.83653885,0.053877644
8695271,4196840,4245433,491.6713,491.6412,25.113447,50,0.10165254,0.10403296,448.4051,452.4588,0.83653814,0.053878367
8695800,4198611.5,4247428,491.64764,491.7,25.118782,50,0.101699345,0.10408,448.40518,452.4,0.8365285,0.053888023
