Time,P_Ste_S.y,stePre.y[1]
8683200,900000,892316
8684062,897815.1,891711.5
8684100,897815.8,891685
8684100,897815.8,891685
8684924,897800.9,890967.75
8685000,897799.4,890902
8685000,897799.4,890902
8685787,897813.75,891158.94
8685900,897815.9,891196
8685900,897815.9,891196
8686649,897793.94,895014.06
8686800,897789.44,895785
8686800,897789.44,895785
8687511,897791.25,897998.56
8687700,897791.75,898587
8687700,897791.75,898587
8688373,897805.44,899740.44
8688600,897810.1,900129
8688600,897810.1,900129
8689235,897803.2,897307.1
8689500,897800.2,896132
8689500,897800.2,896132
8690098,897828.8,893048.4
8690400,897843.7,891488
8690400,897843.7,891488
8690960,897817.94,887543.9
8691300,897801.9,885147
8691300,897801.9,885147
8691822,897789.3,887448.44
8692200,897780.3,889115
8692200,897780.3,889115
8692684,897800.4,893251.7
8693100,897818.1,896804
8693100,897818.1,896804
8693546,897817.1,895381.94
8694000,897815.7,893937
8694000,897815.7,893937
8694409,897820,894398.25
8694900,897825.4,894953
8694900,897825.4,894953
8695271,897826.8,894080.4
8695800,897828.7,892835
8695800,897828.7,892835
8696133,897819.9,892493.1
8696700,897804.56,891911
8696700,897804.56,891911
8696995,897809.7,892530.94
8697600,897821.06,893801
8697600,897821.06,893801
8697857,897817.8,894719.6
8698500,897809,897013
8698500,897809,897013
8698720,897808.56,895526.06
8699400,897807.56,890919
8699400,897807.56,890919
8699582,897807.1,891652.44
8700300,897805.1,894550
8700300,897805.1,894550
8700444,897808.5,894541.7
8701200,897827.44,894498
8701200,897827.44,894498
8701306,897826.94,894104.94
8702100,897821.1,891167
8702100,897821.1,891167
8702168,897821.2,890907.7
8703000,897823,887755
8703000,897823,887755
8703031,897821.56,887873.94
8703893,897765.4,891226
8703900,897764.9,891254
8703900,897764.9,891254
8704755,897797.44,891122.9
8704800,897799.25,891116
8704800,897799.25,891116
8705617,897836.3,895289.2
8705700,897840.06,895712
8705700,897840.06,895712
8706479,897817.5,892221.1
